measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,max,1683882649408,LYING,-0.06,-0.26,0.91,-1.22,0.43,-0.79,3.85,-17.56,123.69
1,max,1683882649429,LYING,-0.06,-0.27,0.91,-1.34,0.43,-0.85,3.86,-17.57,123.66
2,max,1683882649449,LYING,-0.06,-0.27,0.91,-1.34,0.43,-0.85,3.86,-17.57,123.66
3,max,1683882649471,LYING,-0.07,-0.27,0.91,-1.34,0.37,-0.85,3.86,-17.57,123.66
4,max,1683882649496,LYING,-0.07,-0.27,0.91,-1.34,0.37,-0.85,3.88,-17.57,123.63
5,max,1683882649518,LYING,-0.07,-0.27,0.92,-1.53,0.24,-0.85,3.88,-17.57,123.6
6,max,1683882649543,LYING,-0.06,-0.27,0.91,-1.53,0.24,-0.85,3.88,-17.57,123.6
7,max,1683882649568,LYING,-0.06,-0.27,0.91,-1.34,0.06,-0.79,3.88,-17.58,123.57
8,max,1683882649589,LYING,-0.07,-0.27,0.91,-1.28,0.18,-0.67,3.89,-17.59,123.54
9,max,1683882649611,LYING,-0.07,-0.27,0.91,-1.28,0.18,-0.67,3.89,-17.59,123.54
10,max,1683882649634,LYING,-0.07,-0.27,0.91,-1.28,0.0,-0.85,3.89,-17.58,123.51
11,max,1683882649658,LYING,-0.07,-0.27,0.92,-1.46,0.06,-0.73,3.89,-17.58,123.51
12,max,1683882649681,LYING,-0.07,-0.27,0.92,-1.46,0.06,-0.73,3.89,-17.59,123.49
13,max,1683882649705,LYING,-0.06,-0.26,0.92,-1.28,0.12,-0.79,3.88,-17.58,123.46
14,max,1683882649727,LYING,-0.06,-0.26,0.92,-1.28,0.12,-0.79,3.88,-17.58,123.46
15,max,1683882649752,LYING,-0.07,-0.27,0.91,-1.28,0.06,-0.79,3.86,-17.58,123.43
16,max,1683882649773,LYING,-0.07,-0.27,0.91,-1.28,0.06,-0.79,3.86,-17.58,123.43
17,max,1683882649794,LYING,-0.07,-0.27,0.91,-1.16,0.18,-0.85,3.87,-17.57,123.4
