measurement_id,user_name,time_stamp,activity,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,rotation_pitch,rotation_roll,rotation_yaw
0,max,1683882528835,STANDING,0.04,0.96,0.23,-1.46,-0.61,-1.1,-1.99,73.91,-129.01
1,max,1683882528858,STANDING,0.04,0.97,0.24,-1.28,-0.55,-1.34,-1.99,73.91,-129.01
2,max,1683882528881,STANDING,0.04,0.97,0.24,-1.28,-0.55,-1.34,-1.95,73.9,-129.04
3,max,1683882528905,STANDING,0.04,0.97,0.24,-1.53,-0.31,-0.79,-1.93,73.9,-129.08
4,max,1683882528927,STANDING,0.04,0.97,0.24,-1.53,-0.31,-0.79,-1.93,73.9,-129.08
5,max,1683882528952,STANDING,0.04,0.96,0.25,-1.89,0.49,-0.31,-1.93,73.87,-129.05
6,max,1683882528974,STANDING,0.05,0.96,0.24,-1.28,0.06,-1.16,-1.9,73.89,-129.07
7,max,1683882528999,STANDING,0.05,0.96,0.24,-1.28,0.06,-1.16,-1.9,73.89,-129.07
8,max,1683882529021,STANDING,0.05,0.96,0.24,-1.04,0.24,-0.92,-1.89,73.91,-129.07
9,max,1683882529045,STANDING,0.04,0.97,0.25,-1.71,-0.24,-0.98,-1.87,73.91,-129.1
10,max,1683882529067,STANDING,0.04,0.97,0.25,-1.71,-0.24,-0.98,-1.87,73.91,-129.1
11,max,1683882529092,STANDING,0.04,0.97,0.24,-1.71,0.18,-0.73,-1.87,73.91,-129.1
12,max,1683882529113,STANDING,0.04,0.97,0.24,-1.71,0.18,-0.73,-1.87,73.91,-129.1
13,max,1683882529134,STANDING,0.03,0.97,0.25,-0.61,0.0,-0.98,-1.83,73.94,-129.12
14,max,1683882529158,STANDING,0.03,0.96,0.25,-1.04,0.43,-0.79,-1.83,73.94,-129.12
15,max,1683882529178,STANDING,0.03,0.96,0.25,-1.04,0.43,-0.79,-1.8,73.96,-129.11
16,max,1683882529198,STANDING,0.03,0.97,0.24,-2.26,-0.12,-1.1,-1.78,73.93,-129.13
17,max,1683882529219,STANDING,0.03,0.97,0.24,-2.26,-0.12,-1.1,-1.78,73.93,-129.13
18,max,1683882529241,STANDING,0.04,0.97,0.24,-1.59,0.0,-0.43,-1.77,73.94,-129.13
19,max,1683882529264,STANDING,0.04,0.97,0.24,-1.59,0.0,-0.43,-1.77,73.94,-129.13
20,max,1683882529289,STANDING,0.03,0.95,0.25,-1.16,0.43,-0.98,-1.73,73.94,-129.13
21,max,1683882529311,STANDING,0.04,0.96,0.24,-2.14,0.12,-0.85,-1.74,73.91,-129.14
22,max,1683882529332,STANDING,0.04,0.96,0.24,-2.14,0.12,-0.85,-1.74,73.91,-129.14
23,max,1683882529357,STANDING,0.04,0.97,0.23,-2.08,-0.24,-0.61,-1.74,73.91,-129.15
24,max,1683882529378,STANDING,0.04,0.96,0.24,-2.08,-0.24,-0.61,-1.74,73.91,-129.15
25,max,1683882529398,STANDING,0.04,0.96,0.24,-0.98,0.49,-0.61,-1.73,73.93,-129.15
